,,,,Touchdowns,Kicking,Misc,Player,Team,Gms,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,2Pt,Saf
Kyle PittsK. Pitts,ATL,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ja'Lynn PolkJ. Polk,NE,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tony PollardT. Pollard,TEN,4,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Matt PraterM. Prater,ARI,4,28,0,0,0,0,0,0,0,0,0,0,10,6,0,0,,,,,,,
Dak PrescottD. Prescott,DAL,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jayden ReedJ. Reed,GB,5,18,3,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Will ReichardW. Reichard,MIN,5,43,0,0,0,0,0,0,0,0,0,0,16,9,0,0,,,,,,,
Josh ReynoldsJ. Reynolds,DEN,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Patrick RicardP. Ricard,BAL,5,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Rashee RiceR. Rice,KC,4,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Anthony RichardsonA. Richardson,IND,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Calvin RidleyC. Ridley,TEN,4,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kelee RingoK. Ringo,PHI,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bijan RobinsonB. Robinson,ATL,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Brian RobinsonB. Robinson,WAS,5,30,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Demarcus RobinsonD. Robinson,LA,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Wan'Dale RobinsonW. Robinson,NYG,5,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chad RylandC. Ryland,ARI,1,10,0,0,0,0,0,0,0,0,0,0,1,3,0,0,,,,,,,
Deebo SamuelD. Samuel,SF,5,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jason SandersJ. Sanders,MIA,5,30,0,0,0,0,0,0,0,0,0,0,3,9,0,0,,,,,,,
Miles SandersM. Sanders,CAR,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cairo SantosC. Santos,CHI,5,33,0,0,0,0,0,0,0,0,0,0,9,8,0,0,,,,,,,
Trenton ScottT. Scott,WAS,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Austin SeibertA. Seibert,WAS,4,49,0,0,0,0,0,0,0,0,0,0,13,12,0,0,,,,,,,
Trey SermonT. Sermon,IND,5,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rashid ShaheedR. Shaheed,NO,5,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Khalil ShakirK. Shakir,BUF,4,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Laviska ShenaultL. Shenault,SEA,6,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sterling ShepardS. Shepard,TB,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Spencer ShraderS. Shrader,IND,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,
Devin SingletaryD. Singletary,NYG,4,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Darius SlaytonD. Slayton,NYG,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Joey SlyeJ. Slye,NE,5,32,0,0,0,0,0,0,0,0,0,0,5,9,0,0,,,,,,,
DeVonta SmithD. Smith,PHI,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Geno SmithG. Smith,SEA,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jaxon Smith-NjigbaJ. Smith-Njigba,SEA,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
